algorithm,inputType,n,avgMs
selection,random,1000,1.362
merge,random,1000,0.329
quick,random,1000,0.272
selection,sorted,1000,0.188
merge,sorted,1000,0.019
quick,sorted,1000,0.324
selection,reversed,1000,0.209
merge,reversed,1000,0.304
quick,reversed,1000,0.250
selection,random,3000,1.746
merge,random,3000,0.204
quick,random,3000,0.136
selection,sorted,3000,1.602
merge,sorted,3000,0.063
quick,sorted,3000,3.080
selection,reversed,3000,1.930
merge,reversed,3000,0.085
quick,reversed,3000,2.146
selection,random,6000,6.465
merge,random,6000,0.420
quick,random,6000,0.286
selection,sorted,6000,6.233
merge,sorted,6000,0.132
quick,sorted,6000,12.420
selection,reversed,6000,7.166
merge,reversed,6000,0.208
quick,reversed,6000,9.757
selection,random,9000,14.213
merge,random,9000,0.663
quick,random,9000,0.442
selection,sorted,9000,13.873
merge,sorted,9000,0.204
quick,sorted,9000,28.346
selection,reversed,9000,16.392
merge,reversed,9000,0.273
quick,reversed,9000,19.196
selection,random,12000,24.964
merge,random,12000,0.910
quick,random,12000,0.613
selection,sorted,12000,25.422
merge,sorted,12000,0.287
quick,sorted,12000,49.204
selection,reversed,12000,28.623
merge,reversed,12000,0.377
quick,reversed,12000,33.985
selection,random,15000,40.376
merge,random,15000,1.155
quick,random,15000,0.767
selection,sorted,15000,38.646
merge,sorted,15000,0.401
quick,sorted,15000,77.176
selection,reversed,15000,44.734
merge,reversed,15000,0.476
quick,reversed,15000,52.769
