algorithm,inputType,n,ms,trial
selection,random,1000,2.465816,1
merge,random,1000,1.476999,1
quick,random,1000,1.465846,1
selection,random,1000,0.363355,2
merge,random,1000,0.104705,2
quick,random,1000,0.106783,2
selection,random,1000,0.255882,3
merge,random,1000,0.343615,3
quick,random,1000,0.066426,3
selection,random,1000,0.260698,4
merge,random,1000,0.088443,4
quick,random,1000,0.040748,4
selection,random,1000,0.252698,5
merge,random,1000,0.087720,5
quick,random,1000,0.112267,5
selection,sorted,1000,0.189330,1
merge,sorted,1000,0.046587,1
quick,sorted,1000,0.308399,1
selection,sorted,1000,0.184484,2
merge,sorted,1000,0.045287,2
quick,sorted,1000,0.370737,2
selection,sorted,1000,0.235950,3
merge,sorted,1000,0.050973,3
quick,sorted,1000,0.541124,3
selection,sorted,1000,0.328907,4
merge,sorted,1000,0.029751,4
quick,sorted,1000,1.351864,4
selection,sorted,1000,0.232418,5
merge,sorted,1000,0.096924,5
quick,sorted,1000,1.360869,5
selection,reversed,1000,1.205898,1
merge,reversed,1000,0.140765,1
quick,reversed,1000,0.650399,1
selection,reversed,1000,0.992074,2
merge,reversed,1000,0.070686,2
quick,reversed,1000,0.237131,2
selection,reversed,1000,1.377777,3
merge,reversed,1000,0.122976,3
quick,reversed,1000,0.571165,3
selection,reversed,1000,0.550481,4
merge,reversed,1000,0.038631,4
quick,reversed,1000,0.686833,4
selection,reversed,1000,0.203052,5
merge,reversed,1000,0.022154,5
quick,reversed,1000,0.242461,5
selection,nearlySorted,1000,0.191255,1
merge,nearlySorted,1000,0.032643,1
quick,nearlySorted,1000,0.131617,1
selection,nearlySorted,1000,0.220850,2
merge,nearlySorted,1000,0.040292,2
quick,nearlySorted,1000,0.094451,2
selection,nearlySorted,1000,0.214694,3
merge,nearlySorted,1000,0.055276,3
quick,nearlySorted,1000,0.104058,3
selection,nearlySorted,1000,0.193549,4
merge,nearlySorted,1000,0.050198,4
quick,nearlySorted,1000,0.109318,4
selection,nearlySorted,1000,0.216176,5
merge,nearlySorted,1000,0.108823,5
quick,nearlySorted,1000,0.113073,5
selection,random,3000,2.015921,1
merge,random,3000,0.291997,1
quick,random,3000,0.275399,1
selection,random,3000,3.426282,2
merge,random,3000,0.397679,2
quick,random,3000,0.325433,2
selection,random,3000,3.125743,3
merge,random,3000,0.299527,3
quick,random,3000,0.277429,3
selection,random,3000,2.753080,4
merge,random,3000,0.271060,4
quick,random,3000,0.236370,4
selection,random,3000,2.418800,5
merge,random,3000,0.253199,5
quick,random,3000,0.201698,5
selection,sorted,3000,2.102387,1
merge,sorted,3000,0.072799,1
quick,sorted,3000,3.030460,1
selection,sorted,3000,1.600879,2
merge,sorted,3000,0.062492,2
quick,sorted,3000,2.620003,2
selection,sorted,3000,1.599438,3
merge,sorted,3000,0.063210,3
quick,sorted,3000,2.618519,3
selection,sorted,3000,1.603790,4
merge,sorted,3000,0.063520,4
quick,sorted,3000,2.624773,4
selection,sorted,3000,1.603141,5
merge,sorted,3000,0.062834,5
quick,sorted,3000,2.647553,5
selection,reversed,3000,1.692762,1
merge,reversed,3000,0.081460,1
quick,reversed,3000,1.909098,1
selection,reversed,3000,1.704715,2
merge,reversed,3000,0.083322,2
quick,reversed,3000,1.909132,2
selection,reversed,3000,1.718669,3
merge,reversed,3000,0.082519,3
quick,reversed,3000,1.896398,3
selection,reversed,3000,1.705359,4
merge,reversed,3000,0.082319,4
quick,reversed,3000,1.891045,4
selection,reversed,3000,1.724123,5
merge,reversed,3000,0.081739,5
quick,reversed,3000,1.895405,5
selection,nearlySorted,3000,1.593696,1
merge,nearlySorted,3000,0.078317,1
quick,nearlySorted,3000,0.218583,1
selection,nearlySorted,3000,1.599706,2
merge,nearlySorted,3000,0.076925,2
quick,nearlySorted,3000,0.218036,2
selection,nearlySorted,3000,1.599938,3
merge,nearlySorted,3000,0.078949,3
quick,nearlySorted,3000,0.214271,3
selection,nearlySorted,3000,1.602146,4
merge,nearlySorted,3000,0.079223,4
quick,nearlySorted,3000,0.218878,4
selection,nearlySorted,3000,1.619072,5
merge,nearlySorted,3000,0.077254,5
quick,nearlySorted,3000,0.218228,5
selection,random,6000,6.622970,1
merge,random,6000,0.433272,1
quick,random,6000,0.329909,1
selection,random,6000,6.629603,2
merge,random,6000,0.432358,2
quick,random,6000,0.451242,2
selection,random,6000,6.970935,3
merge,random,6000,0.536987,3
quick,random,6000,0.489871,3
selection,random,6000,9.082744,4
merge,random,6000,0.428547,4
quick,random,6000,0.319370,4
selection,random,6000,6.657002,5
merge,random,6000,0.424977,5
quick,random,6000,0.324502,5
selection,sorted,6000,6.298097,1
merge,sorted,6000,0.108222,1
quick,sorted,6000,10.357530,1
selection,sorted,6000,6.307068,2
merge,sorted,6000,0.109057,2
quick,sorted,6000,10.243379,2
selection,sorted,6000,6.300903,3
merge,sorted,6000,0.111414,3
quick,sorted,6000,10.230516,3
selection,sorted,6000,6.299194,4
merge,sorted,6000,0.107740,4
